period,stateId,stateDescription,producertypeid,producerTypeDescription,energysourceid,energySourceDescription,capability,capability-units
2024,VA,Virginia,EU,Electric Utilities,ALL,All,21256.2,megawatts
2024,VA,Virginia,EU,Electric Utilities,BAT,Battery,60,megawatts
2024,VA,Virginia,EU,Electric Utilities,COL,Coal,1487.1,megawatts
2024,VA,Virginia,EU,Electric Utilities,HPS,Pumped Storage,3253.1,megawatts
2024,VA,Virginia,EU,Electric Utilities,HYC,Hydroelectric,821.6,megawatts
2024,VA,Virginia,EU,Electric Utilities,NG,Natural Gas,9963.4,megawatts
2024,VA,Virginia,EU,Electric Utilities,NGCC,Natural Gas - CC,6132.4,megawatts
2024,VA,Virginia,EU,Electric Utilities,NGGT,Natural Gas - GT,3370,megawatts
2024,VA,Virginia,EU,Electric Utilities,NGIC,Natural Gas - IC,1,megawatts
2024,VA,Virginia,EU,Electric Utilities,NGST,Natural Gas - ST,460,megawatts
2024,VA,Virginia,EU,Electric Utilities,NUC,Nuclear,3568,megawatts
2024,VA,Virginia,EU,Electric Utilities,PET,Petroleum,363.6,megawatts
2024,VA,Virginia,EU,Electric Utilities,PETGT,Petroleum - GT,260.4,megawatts
2024,VA,Virginia,EU,Electric Utilities,PETIC,Petroleum - IC,103.2,megawatts
2024,VA,Virginia,EU,Electric Utilities,SOL,Solar,1574.4,megawatts
2024,VA,Virginia,EU,Electric Utilities,SOLPV,Solar - PV,1574.4,megawatts
2024,VA,Virginia,EU,Electric Utilities,WND,Wind,12,megawatts
2024,VA,Virginia,EU,Electric Utilities,WOO,Wood,153,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,ALL,All,7890.3,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,BAT,Battery,10.5,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,COL,Coal,43,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,HYC,Hydroelectric,45,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,NG,Natural Gas,3749.5,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,NGCC,Natural Gas - CC,2777.7,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,NGGT,Natural Gas - GT,842,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,NGIC,Natural Gas - IC,2,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,NGST,Natural Gas - ST,127.8,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,OBM,Other Biomass,223.6,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,PET,Petroleum,378,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,PETGT,Petroleum - GT,347,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,PETIC,Petroleum - IC,31,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,SOL,Solar,3104,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,SOLPV,Solar - PV,3104,megawatts
2024,VA,Virginia,IPP,Independent Power Producers,WOO,Wood,336.7,megawatts
2024,VA,Virginia,TOT,All sectors,ALL,All,29146.5,megawatts
2024,VA,Virginia,TOT,All sectors,BAT,Battery,70.5,megawatts
2024,VA,Virginia,TOT,All sectors,COL,Coal,1530.1,megawatts
2024,VA,Virginia,TOT,All sectors,HPS,Pumped Storage,3253.1,megawatts
2024,VA,Virginia,TOT,All sectors,HYC,Hydroelectric,866.6,megawatts
2024,VA,Virginia,TOT,All sectors,NG,Natural Gas,13712.9,megawatts
2024,VA,Virginia,TOT,All sectors,NGCC,Natural Gas - CC,8910.1,megawatts
2024,VA,Virginia,TOT,All sectors,NGGT,Natural Gas - GT,4212,megawatts
2024,VA,Virginia,TOT,All sectors,NGIC,Natural Gas - IC,3,megawatts
2024,VA,Virginia,TOT,All sectors,NGST,Natural Gas - ST,587.8,megawatts
2024,VA,Virginia,TOT,All sectors,NUC,Nuclear,3568,megawatts
2024,VA,Virginia,TOT,All sectors,OBM,Other Biomass,223.6,megawatts
2024,VA,Virginia,TOT,All sectors,PET,Petroleum,741.6,megawatts
2024,VA,Virginia,TOT,All sectors,PETGT,Petroleum - GT,607.4,megawatts
2024,VA,Virginia,TOT,All sectors,PETIC,Petroleum - IC,134.2,megawatts
2024,VA,Virginia,TOT,All sectors,SOL,Solar,4678.4,megawatts
2024,VA,Virginia,TOT,All sectors,SOLPV,Solar - PV,4678.4,megawatts
2024,VA,Virginia,TOT,All sectors,WND,Wind,12,megawatts
2024,VA,Virginia,TOT,All sectors,WOO,Wood,489.7,megawatts
2023,VA,Virginia,EU,Electric Utilities,ALL,All,21020.3,megawatts
2023,VA,Virginia,EU,Electric Utilities,BAT,Battery,60,megawatts
2023,VA,Virginia,EU,Electric Utilities,COL,Coal,1487.1,megawatts
2023,VA,Virginia,EU,Electric Utilities,HPS,Pumped Storage,3253.1,megawatts
2023,VA,Virginia,EU,Electric Utilities,HYC,Hydroelectric,821.6,megawatts
2023,VA,Virginia,EU,Electric Utilities,NG,Natural Gas,9955.3,megawatts
2023,VA,Virginia,EU,Electric Utilities,NGCC,Natural Gas - CC,6128.4,megawatts
2023,VA,Virginia,EU,Electric Utilities,NGGT,Natural Gas - GT,3365.9,megawatts
2023,VA,Virginia,EU,Electric Utilities,NGIC,Natural Gas - IC,1,megawatts
2023,VA,Virginia,EU,Electric Utilities,NGST,Natural Gas - ST,460,megawatts
2023,VA,Virginia,EU,Electric Utilities,NUC,Nuclear,3568,megawatts
2023,VA,Virginia,EU,Electric Utilities,PET,Petroleum,364.8,megawatts
2023,VA,Virginia,EU,Electric Utilities,PETGT,Petroleum - GT,260.4,megawatts
2023,VA,Virginia,EU,Electric Utilities,PETIC,Petroleum - IC,104.4,megawatts
2023,VA,Virginia,EU,Electric Utilities,SOL,Solar,1345.4,megawatts
2023,VA,Virginia,EU,Electric Utilities,SOLPV,Solar - PV,1345.4,megawatts
2023,VA,Virginia,EU,Electric Utilities,WND,Wind,12,megawatts
2023,VA,Virginia,EU,Electric Utilities,WOO,Wood,153,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,ALL,All,7197.9,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,BAT,Battery,10.5,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,COL,Coal,43,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,HYC,Hydroelectric,45,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,NG,Natural Gas,3771.2,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,NGCC,Natural Gas - CC,2770.4,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,NGGT,Natural Gas - GT,880,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,NGST,Natural Gas - ST,120.8,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,OBM,Other Biomass,298.9,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,PET,Petroleum,372.4,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,PETGT,Petroleum - GT,343.8,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,PETIC,Petroleum - IC,28.6,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,SOL,Solar,2313.2,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,SOLPV,Solar - PV,2313.2,megawatts
2023,VA,Virginia,IPP,Independent Power Producers,WOO,Wood,343.7,megawatts
2023,VA,Virginia,TOT,All sectors,ALL,All,28218.2,megawatts
2023,VA,Virginia,TOT,All sectors,BAT,Battery,70.5,megawatts
2023,VA,Virginia,TOT,All sectors,COL,Coal,1530.1,megawatts
2023,VA,Virginia,TOT,All sectors,HPS,Pumped Storage,3253.1,megawatts
2023,VA,Virginia,TOT,All sectors,HYC,Hydroelectric,866.6,megawatts
2023,VA,Virginia,TOT,All sectors,NG,Natural Gas,13726.5,megawatts
2023,VA,Virginia,TOT,All sectors,NGCC,Natural Gas - CC,8898.8,megawatts
2023,VA,Virginia,TOT,All sectors,NGGT,Natural Gas - GT,4245.9,megawatts
2023,VA,Virginia,TOT,All sectors,NGIC,Natural Gas - IC,1,megawatts
2023,VA,Virginia,TOT,All sectors,NGST,Natural Gas - ST,580.8,megawatts
2023,VA,Virginia,TOT,All sectors,NUC,Nuclear,3568,megawatts
2023,VA,Virginia,TOT,All sectors,OBM,Other Biomass,298.9,megawatts
2023,VA,Virginia,TOT,All sectors,PET,Petroleum,737.2,megawatts
2023,VA,Virginia,TOT,All sectors,PETGT,Petroleum - GT,604.2,megawatts
2023,VA,Virginia,TOT,All sectors,PETIC,Petroleum - IC,133,megawatts
2023,VA,Virginia,TOT,All sectors,SOL,Solar,3658.6,megawatts
2023,VA,Virginia,TOT,All sectors,SOLPV,Solar - PV,3658.6,megawatts
2023,VA,Virginia,TOT,All sectors,WND,Wind,12,megawatts
2023,VA,Virginia,TOT,All sectors,WOO,Wood,496.7,megawatts
2022,VA,Virginia,EU,Electric Utilities,ALL,All,22592.2,megawatts
2022,VA,Virginia,EU,Electric Utilities,COL,Coal,2493,megawatts
2022,VA,Virginia,EU,Electric Utilities,HPS,Pumped Storage,3241,megawatts
2022,VA,Virginia,EU,Electric Utilities,HYC,Hydroelectric,821.6,megawatts
2022,VA,Virginia,EU,Electric Utilities,NG,Natural Gas,10056.6,megawatts
2022,VA,Virginia,EU,Electric Utilities,NGCC,Natural Gas - CC,6233.3,megawatts
2022,VA,Virginia,EU,Electric Utilities,NGGT,Natural Gas - GT,3362.3,megawatts
2022,VA,Virginia,EU,Electric Utilities,NGIC,Natural Gas - IC,1,megawatts
2022,VA,Virginia,EU,Electric Utilities,NGST,Natural Gas - ST,460,megawatts
2022,VA,Virginia,EU,Electric Utilities,NUC,Nuclear,3568,megawatts
2022,VA,Virginia,EU,Electric Utilities,PET,Petroleum,1152.4,megawatts
2022,VA,Virginia,EU,Electric Utilities,PETGT,Petroleum - GT,261,megawatts
2022,VA,Virginia,EU,Electric Utilities,PETIC,Petroleum - IC,101.4,megawatts
2022,VA,Virginia,EU,Electric Utilities,PETST,Petroleum - ST,790,megawatts
2022,VA,Virginia,EU,Electric Utilities,SOL,Solar,1094.6,megawatts
2022,VA,Virginia,EU,Electric Utilities,SOLPV,Solar - PV,1094.6,megawatts
2022,VA,Virginia,EU,Electric Utilities,WND,Wind,12,megawatts
2022,VA,Virginia,EU,Electric Utilities,WOO,Wood,153,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,ALL,All,6577,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,BAT,Battery,10.5,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,COL,Coal,43,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,HYC,Hydroelectric,45,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,NG,Natural Gas,3747,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,NGCC,Natural Gas - CC,2738.9,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,NGGT,Natural Gas - GT,887,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,NGIC,Natural Gas - IC,.3,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,NGST,Natural Gas - ST,120.8,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,OBM,Other Biomass,305.5,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,PET,Petroleum,384,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,PETGT,Petroleum - GT,346.4,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,PETIC,Petroleum - IC,37.6,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,SOL,Solar,1698.3,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,SOLPV,Solar - PV,1698.3,megawatts
2022,VA,Virginia,IPP,Independent Power Producers,WOO,Wood,343.7,megawatts
2022,VA,Virginia,TOT,All sectors,ALL,All,29169.2,megawatts
2022,VA,Virginia,TOT,All sectors,BAT,Battery,10.5,megawatts
2022,VA,Virginia,TOT,All sectors,COL,Coal,2536,megawatts
2022,VA,Virginia,TOT,All sectors,HPS,Pumped Storage,3241,megawatts
2022,VA,Virginia,TOT,All sectors,HYC,Hydroelectric,866.6,megawatts
2022,VA,Virginia,TOT,All sectors,NG,Natural Gas,13803.6,megawatts
2022,VA,Virginia,TOT,All sectors,NGCC,Natural Gas - CC,8972.2,megawatts
2022,VA,Virginia,TOT,All sectors,NGGT,Natural Gas - GT,4249.3,megawatts
2022,VA,Virginia,TOT,All sectors,NGIC,Natural Gas - IC,1.3,megawatts
2022,VA,Virginia,TOT,All sectors,NGST,Natural Gas - ST,580.8,megawatts
2022,VA,Virginia,TOT,All sectors,NUC,Nuclear,3568,megawatts
2022,VA,Virginia,TOT,All sectors,OBM,Other Biomass,305.5,megawatts
2022,VA,Virginia,TOT,All sectors,PET,Petroleum,1536.4,megawatts
2022,VA,Virginia,TOT,All sectors,PETGT,Petroleum - GT,607.4,megawatts
2022,VA,Virginia,TOT,All sectors,PETIC,Petroleum - IC,139,megawatts
2022,VA,Virginia,TOT,All sectors,PETST,Petroleum - ST,790,megawatts
2022,VA,Virginia,TOT,All sectors,SOL,Solar,2792.9,megawatts
2022,VA,Virginia,TOT,All sectors,SOLPV,Solar - PV,2792.9,megawatts
2022,VA,Virginia,TOT,All sectors,WND,Wind,12,megawatts
2022,VA,Virginia,TOT,All sectors,WOO,Wood,496.7,megawatts
2021,VA,Virginia,EU,Electric Utilities,ALL,All,22304,megawatts
2021,VA,Virginia,EU,Electric Utilities,COL,Coal,2493,megawatts
2021,VA,Virginia,EU,Electric Utilities,HPS,Pumped Storage,3241,megawatts
2021,VA,Virginia,EU,Electric Utilities,HYC,Hydroelectric,821.6,megawatts
2021,VA,Virginia,EU,Electric Utilities,NG,Natural Gas,10055.6,megawatts
2021,VA,Virginia,EU,Electric Utilities,NGCC,Natural Gas - CC,6233.3,megawatts
2021,VA,Virginia,EU,Electric Utilities,NGGT,Natural Gas - GT,3362.3,megawatts
2021,VA,Virginia,EU,Electric Utilities,NGST,Natural Gas - ST,460,megawatts
2021,VA,Virginia,EU,Electric Utilities,NUC,Nuclear,3568,megawatts
2021,VA,Virginia,EU,Electric Utilities,OBM,Other Biomass,1,megawatts
2021,VA,Virginia,EU,Electric Utilities,PET,Petroleum,1164.4,megawatts
2021,VA,Virginia,EU,Electric Utilities,PETGT,Petroleum - GT,273,megawatts
2021,VA,Virginia,EU,Electric Utilities,PETIC,Petroleum - IC,101.4,megawatts
2021,VA,Virginia,EU,Electric Utilities,PETST,Petroleum - ST,790,megawatts
2021,VA,Virginia,EU,Electric Utilities,SOL,Solar,794.4,megawatts
2021,VA,Virginia,EU,Electric Utilities,SOLPV,Solar - PV,794.4,megawatts
2021,VA,Virginia,EU,Electric Utilities,WND,Wind,12,megawatts
2021,VA,Virginia,EU,Electric Utilities,WOO,Wood,153,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,ALL,All,6211.3,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,COL,Coal,43,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,HYC,Hydroelectric,44.4,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,NG,Natural Gas,3650.6,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,NGCC,Natural Gas - CC,2645.5,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,NGGT,Natural Gas - GT,883,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,NGIC,Natural Gas - IC,1.3,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,NGST,Natural Gas - ST,120.8,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,OBM,Other Biomass,306.9,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,OT,Other,96,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,PET,Petroleum,385.1,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,PETGT,Petroleum - GT,347.5,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,PETIC,Petroleum - IC,37.6,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,SOL,Solar,1342.7,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,SOLPV,Solar - PV,1342.7,megawatts
2021,VA,Virginia,IPP,Independent Power Producers,WOO,Wood,342.6,megawatts
2021,VA,Virginia,TOT,All sectors,ALL,All,28515.3,megawatts
2021,VA,Virginia,TOT,All sectors,COL,Coal,2536,megawatts
2021,VA,Virginia,TOT,All sectors,HPS,Pumped Storage,3241,megawatts
2021,VA,Virginia,TOT,All sectors,HYC,Hydroelectric,866,megawatts
2021,VA,Virginia,TOT,All sectors,NG,Natural Gas,13706.2,megawatts
2021,VA,Virginia,TOT,All sectors,NGCC,Natural Gas - CC,8878.8,megawatts
2021,VA,Virginia,TOT,All sectors,NGGT,Natural Gas - GT,4245.3,megawatts
2021,VA,Virginia,TOT,All sectors,NGIC,Natural Gas - IC,1.3,megawatts
2021,VA,Virginia,TOT,All sectors,NGST,Natural Gas - ST,580.8,megawatts
2021,VA,Virginia,TOT,All sectors,NUC,Nuclear,3568,megawatts
2021,VA,Virginia,TOT,All sectors,OBM,Other Biomass,307.9,megawatts
2021,VA,Virginia,TOT,All sectors,OT,Other,96,megawatts
2021,VA,Virginia,TOT,All sectors,PET,Petroleum,1549.5,megawatts
2021,VA,Virginia,TOT,All sectors,PETGT,Petroleum - GT,620.5,megawatts
2021,VA,Virginia,TOT,All sectors,PETIC,Petroleum - IC,139,megawatts
2021,VA,Virginia,TOT,All sectors,PETST,Petroleum - ST,790,megawatts
2021,VA,Virginia,TOT,All sectors,SOL,Solar,2137.1,megawatts
2021,VA,Virginia,TOT,All sectors,SOLPV,Solar - PV,2137.1,megawatts
2021,VA,Virginia,TOT,All sectors,WND,Wind,12,megawatts
2021,VA,Virginia,TOT,All sectors,WOO,Wood,495.6,megawatts
2020,VA,Virginia,EU,Electric Utilities,ALL,All,22024.4,megawatts
2020,VA,Virginia,EU,Electric Utilities,COL,Coal,2493,megawatts
2020,VA,Virginia,EU,Electric Utilities,HPS,Pumped Storage,3241,megawatts
2020,VA,Virginia,EU,Electric Utilities,HYC,Hydroelectric,832.1,megawatts
2020,VA,Virginia,EU,Electric Utilities,NG,Natural Gas,10845.6,megawatts
2020,VA,Virginia,EU,Electric Utilities,NGCC,Natural Gas - CC,6233.3,megawatts
2020,VA,Virginia,EU,Electric Utilities,NGGT,Natural Gas - GT,3362.3,megawatts
2020,VA,Virginia,EU,Electric Utilities,NGST,Natural Gas - ST,1250,megawatts
2020,VA,Virginia,EU,Electric Utilities,NUC,Nuclear,3568,megawatts
2020,VA,Virginia,EU,Electric Utilities,OBM,Other Biomass,1,megawatts
2020,VA,Virginia,EU,Electric Utilities,PET,Petroleum,374.4,megawatts
2020,VA,Virginia,EU,Electric Utilities,PETGT,Petroleum - GT,273,megawatts
2020,VA,Virginia,EU,Electric Utilities,PETIC,Petroleum - IC,101.4,megawatts
2020,VA,Virginia,EU,Electric Utilities,SOL,Solar,516.3,megawatts
2020,VA,Virginia,EU,Electric Utilities,SOLPV,Solar - PV,516.3,megawatts
2020,VA,Virginia,EU,Electric Utilities,WOO,Wood,153,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,ALL,All,5918.2,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,COL,Coal,385.7,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,HYC,Hydroelectric,33.9,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,NG,Natural Gas,3646.5,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,NGCC,Natural Gas - CC,2643.8,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,NGGT,Natural Gas - GT,883,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,NGIC,Natural Gas - IC,1.3,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,NGST,Natural Gas - ST,118.4,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,OBM,Other Biomass,308.3,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,OT,Other,96,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,PET,Petroleum,386.5,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,PETGT,Petroleum - GT,348.1,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,PETIC,Petroleum - IC,38.4,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,SOL,Solar,718.7,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,SOLPV,Solar - PV,718.7,megawatts
2020,VA,Virginia,IPP,Independent Power Producers,WOO,Wood,342.6,megawatts
2020,VA,Virginia,TOT,All sectors,ALL,All,27942.6,megawatts
2020,VA,Virginia,TOT,All sectors,COL,Coal,2878.7,megawatts
2020,VA,Virginia,TOT,All sectors,HPS,Pumped Storage,3241,megawatts
2020,VA,Virginia,TOT,All sectors,HYC,Hydroelectric,866,megawatts
2020,VA,Virginia,TOT,All sectors,NG,Natural Gas,14492.1,megawatts
2020,VA,Virginia,TOT,All sectors,NGCC,Natural Gas - CC,8877.1,megawatts
2020,VA,Virginia,TOT,All sectors,NGGT,Natural Gas - GT,4245.3,megawatts
2020,VA,Virginia,TOT,All sectors,NGIC,Natural Gas - IC,1.3,megawatts
2020,VA,Virginia,TOT,All sectors,NGST,Natural Gas - ST,1368.4,megawatts
2020,VA,Virginia,TOT,All sectors,NUC,Nuclear,3568,megawatts
2020,VA,Virginia,TOT,All sectors,OBM,Other Biomass,309.3,megawatts
2020,VA,Virginia,TOT,All sectors,OT,Other,96,megawatts
2020,VA,Virginia,TOT,All sectors,PET,Petroleum,760.9,megawatts
2020,VA,Virginia,TOT,All sectors,PETGT,Petroleum - GT,621.1,megawatts
2020,VA,Virginia,TOT,All sectors,PETIC,Petroleum - IC,139.8,megawatts
2020,VA,Virginia,TOT,All sectors,SOL,Solar,1235,megawatts
2020,VA,Virginia,TOT,All sectors,SOLPV,Solar - PV,1235,megawatts
2020,VA,Virginia,TOT,All sectors,WOO,Wood,495.6,megawatts
2019,VA,Virginia,EU,Electric Utilities,ALL,All,22504.8,megawatts
2019,VA,Virginia,EU,Electric Utilities,COL,Coal,2493,megawatts
2019,VA,Virginia,EU,Electric Utilities,HPS,Pumped Storage,3241,megawatts
2019,VA,Virginia,EU,Electric Utilities,HYC,Hydroelectric,832.1,megawatts
2019,VA,Virginia,EU,Electric Utilities,NG,Natural Gas,10041.6,megawatts
2019,VA,Virginia,EU,Electric Utilities,NGCC,Natural Gas - CC,6219.3,megawatts
2019,VA,Virginia,EU,Electric Utilities,NGGT,Natural Gas - GT,3362.3,megawatts
2019,VA,Virginia,EU,Electric Utilities,NGST,Natural Gas - ST,460,megawatts
2019,VA,Virginia,EU,Electric Utilities,NUC,Nuclear,3568,megawatts
2019,VA,Virginia,EU,Electric Utilities,OBM,Other Biomass,1,megawatts
2019,VA,Virginia,EU,Electric Utilities,PET,Petroleum,1951.6,megawatts
2019,VA,Virginia,EU,Electric Utilities,PETGT,Petroleum - GT,273,megawatts
2019,VA,Virginia,EU,Electric Utilities,PETIC,Petroleum - IC,102.6,megawatts
2019,VA,Virginia,EU,Electric Utilities,PETST,Petroleum - ST,1576,megawatts
2019,VA,Virginia,EU,Electric Utilities,SOL,Solar,223.5,megawatts
2019,VA,Virginia,EU,Electric Utilities,SOLPV,Solar - PV,223.5,megawatts
2019,VA,Virginia,EU,Electric Utilities,WOO,Wood,153,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,ALL,All,5539.9,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,COL,Coal,385.9,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,HYC,Hydroelectric,33.9,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,NG,Natural Gas,3651.4,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,NGCC,Natural Gas - CC,2648.7,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,NGGT,Natural Gas - GT,883,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,NGIC,Natural Gas - IC,1.3,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,NGST,Natural Gas - ST,118.4,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,OBM,Other Biomass,308.3,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,OT,Other,96,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,PET,Petroleum,389.2,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,PETGT,Petroleum - GT,350.8,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,PETIC,Petroleum - IC,38.4,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,SOL,Solar,332.6,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,SOLPV,Solar - PV,332.6,megawatts
2019,VA,Virginia,IPP,Independent Power Producers,WOO,Wood,342.6,megawatts
2019,VA,Virginia,TOT,All sectors,ALL,All,28044.7,megawatts
2019,VA,Virginia,TOT,All sectors,COL,Coal,2878.9,megawatts
2019,VA,Virginia,TOT,All sectors,HPS,Pumped Storage,3241,megawatts
2019,VA,Virginia,TOT,All sectors,HYC,Hydroelectric,866,megawatts
2019,VA,Virginia,TOT,All sectors,NG,Natural Gas,13693,megawatts
2019,VA,Virginia,TOT,All sectors,NGCC,Natural Gas - CC,8868,megawatts
2019,VA,Virginia,TOT,All sectors,NGGT,Natural Gas - GT,4245.3,megawatts
2019,VA,Virginia,TOT,All sectors,NGIC,Natural Gas - IC,1.3,megawatts
2019,VA,Virginia,TOT,All sectors,NGST,Natural Gas - ST,578.4,megawatts
